Yazi,Cevap
Memurlar saat 10.00 - 16.00 arası yani tam 6 saat çalışcaklar. Şuan memur olmak vardı 6 saat göz açıp kapayıncaya kadar geçer zaten memurluk rahat meslek şimdi iyice rahatladı.,Haberi ilk gördüğümde özel sektörde çalışanlar bu ülkenin vatandaşı değil herhalde dedim.Normal bir ülkede özel sektör teşvik edilir bizim ülkemizde devlet gençlerin kamuyu tercih etmesi için elinden geleni yapıyor.
"Türkiye’de iki hafta üst üste uygulanan sınırlı sokağa çıkma yasağı, vaka artışını durdurmaya yetmedi. Cumhurbaşkanı Recep Tayyip Erdoğan, bugün gerçekleştirilen kabine toplantısı sonrasında alınan yeni tedbir kararlarını resmen açıkladı.Cumhurbaşkanı Erdoğan, önümüzdeki hafta sonundan komple sokağa çıkma yasağı uygulanacağını duyurdu. İki hafta önce alınan kararda hafta sonu saat akşam 20.00’den sabah 10.00’a kadar sokağa çıkma yasağı uygulanıyordu. Yeni kararla birlikte hafta sonu, 2 gün boyunca tüm saatlerde sokağa çıkma yasağı uygulanacak.Ayrıca haftaiçi de kısıtlama geldi. Haftaiçi her gün akşam saat 21.00'den sabah 05.00'e kadar sokağa çıkma yasağı uygulanacak. İlk haftaiçi sokağa çıkma yasağı yarın (Salı günü) saat 21.00'de başlayacak.Ayrıca Bkz.Bilim Kurulu üyesi, koronavirüsün akciğerlerde yarattığı tahribata dikkat çektiCumhurbaşkanı Erdoğan, marketlerin haftasonu sokağa çıkma yasağından muaf olacağını açıkladı. Konuyla ilgili açıklamasında, ""Market, bakkal, kasap, manav gibi işletmeler, eve paket hizmeti veren yerler belirlenecek saatler çerçevesinde hafta sonu kısıtlamasının dışındadır. Restoranlar paket servis haricinde hizmet veremeyecektir."" dedi.Alışveriş merkezlerine HES kodu ile girilecek. Evlerde gün, mevlit, taziye, yılbaşı gibi etkinlikler yapılamayacak Cenaze namazları yakınları dahil 30 kişiyle kılınacak, nikahlar bu sayıyı geçirmeyecektir. Hamam, sauna, spor salonları faaliyetlerine ara verilecek. 65 yaş üstü ve 20 yaş altı vatandaşlar toplu taşıma araçlarını kullanamayacak.Kısıtlamaların detayları İçişleri Bakanlığı tarafından yayımlanacak genelgeyle belli olacak. Yasaklar salı akşamından itibaren uygulanmaya başlanacak..","Padişahım sen çok yaşa, keşke minübüsçüler ağladı diye özel okul sahipleri ağladı diye yüzyüze eğitimi hayata geçirmeseydiniz, çay dağıttığınız mitingleri tam bu kritik zamanda inadına yapar gibi yapmasaydınız da bu vakalar patlamasaydı. Okul ne alaka diyecekeler sadece azıcık aklının ucuyla düşünsün küçük çocuklar yüzyüzede birbirini özlediği için sarıldı öpüştü koklaştı birbirleriyle maskelerini değişti. Diyoruz ya çocuk onlar ne anlar koronadan sosyal mesafe vs den, dolayısı ile tüm virüslere taşıyıcılık yaptılar farkında olmadan. Şimdide kendi kabahatlerinden dolayı fırlayan vaka sayısının faturası her zamanki gibi kira ödemeye çalışan personel maaşı vermeye çalışan vergi ödemeye çalışan esnafa iş verene kesildi. Bir ülke nasıl yönetilemez diye kitap yazılsa kesinlikle mevcut iktidar konudaki baş kahraman olurdu!   Bazı kapasitesiz arkadaşlar için zorunlu edit : ilkokul çocukları ne alakaymış bak bak bak! Beyin güzel bir organ ama kullanabilene; arkadaşım diyorumki sosyal mesafe maske vs kurallarına uymayı ne bilsin ufacık çocuk haftada 2 gün okullar yüzyüze eğitime geçince bu çocuklar aylardır uzak kaldığı arkadaşlarlarına kavuştu. Haliyle birbirlerine sarıldılar el ele diz dize oyunlar oynadılar birbirleri ile maskelerini değiştirdiler. Çünkü onların dünyası böyle buna itirazımız tabiki yok yanlış olan onların okullarının açılmasıydı! O çocuklar süper taşıyıcı konumuna geçti onları etkilemeyen virüs bünyelerinde dolaşmaya başladı ve aileleri bunu fark edemez çünkü belirti göstermediler, haliyle eve gelen aile büyükleri tarafından şapur şupur öpüldü veya kucaklarda gezdirildi virüs tüm aile fertlerine yayıldı. Bu detayı ince ince yazmayınca harbiden bazı beyin yoksunları anlamıyor! Birde Necmettin Erbakan'dan flan söz edenler var onlar ayrı bir komedi. O adamın kurduğu cümleyi bile anlayacak kapasite yok Erbakan diyor! Zamanın gelmiş geçmiş en zeki insanlarından birisiydi Allah rahmet eylesin. Onun dediklerini anlayabilecek birisi leb demeden leblebiyi anlar zaten. Benide böyle detaylı yazmaya mecbur bırakmaz!"
"Azerbaycan Cumhurbaşkanı İlham Aliyev, Ermenistan'ın yenilgisini kabul eden bildiriye imza attığı 10 Kasım tarihini ""Zafer Günü"" ilan etti.Azerbaycan Cumhurbaşkanlığından yapılan açıklamaya göre, Aliyev, 10 Kasım tarihinin ""Zafer Günü"" ilan edilmesi ve bu günün her yıl kutlanılması yönünde karar aldı.Aliyev ayrıca Azerbaycan ordusunun topraklarını kurtarmak için yürüttüğü operasyonun başladığı gün olan 27 Eylül'ü de şehitleri ""Anma Günü"" olarak belirledi.https://www.hurriyet.com.tr/dunya/azerbaycan-10-kasim-tarihini-zafer-gunu-ilan-etti-41677843Sevinciniz bizim sevincimiz, kederiniz bizim kederimiz dediğimiz kardeş ülkemiz, biz yas tutarken çoşku ile kutlama yapacak.  Atatürk düşmanları Twitter'da 10 Kasım'ı çoşkuyla kornalarla kutlayacağız yazmaya başladı. Sırtımıza hançer yedik resmen.O gece bildiri imzalanırken Azerbaycanlı arkadaşımla beraber zafer için sevinirken Azerbaycanlı arkadaşım ""10 Kasım'a denk geldi ama bizimkiler 11'de kutlar"" demişti. Umarım onun dediği gibi bir jest yapıp 11'inde kutlarlar.  ""10 Kasım'da çifte bayram yapacağız"" yazılarını gördükçe deliriyorum çünkü.Edit: 10 Kasım’ın Mustafa Kemal Atatürk’ün anma günü olduğu dikkate alınarak, Azerbaycan Cumhurbaşkanı İlham Aliyev’in kararı ile Şuşa’nın Zafer günü 8 Kasım tarihi Karabağ Zafer Günü olarak değiştirilmiştir. TEŞEKKÜRLER CAN AZERBAYCAN. Atatürk düşmanları bunu ağlayarak günlüğüne yazabilir. ",Türkiye-Azerbaycan arasındaki samimiyetten hoşnutlarsa Zafer Günü'nü 11 Kasım'a almaları lazım.Dikkatsizce karar verdiklerini ve Zafer Günü'nü diplomatik bir jestle 11 Kasım'a erteleyeceklerini düşünüyorum.
"Ekrem İmamoğlu'na suikast son anda engellendihttps://yenisoluk.com/ekremimamoglu-na-suikast-son-anda-engellendiEmniyet Genel Müdürlüğü'nden resmi açıklamahttps://yenisoluk.com/emniyet-genel-mudurlugu-nden-imamoglu-na-suikast-iddiasi-aciklamasiİBB'nin resmi açıklamasıhttps://yenisoluk.com/ibb-den-imamoglu-aciklamasi-eylemcinin-yakalandigi-bilgisi-mevcut-degilİmamoğlu: Bu iddialar yeni değilhttps://yenisoluk.com/imamoglu-ndan-suikast-aciklamasi-bu-iddialar-yeni-degilİçişleri Bakanı'nın açıklamasıhttps://yenisoluk.com/suleyman-soylu-dan-imamoglu-na-suikast-girisimi-aciklamasiSON DAKİKA:İmamoğlu, canlı yayında açıkladı: Hareket alanımla ilgili tedbirler alındıhttps://yenisoluk.com/imamoglu-canli-yayinda-acikladi-hareket-alanimla-ilgili-tedbirler-alindi",İmamoğlu düşmanı radikal Erdoğanistler ve onların İŞİD’ci kardeşleri an itibariyle ağlıyorlar
"Selam. Ankara'da bir kolejde Türkçe öğretmeni olarak çalışıyorum.Bugün itibariyle zoom üzerinden yaptığımız toplantıda, veliler ödeme yapmıyor ve öğrenci sayısı baya azaldı diye patron herkesin maaşından %20 kesinti yapacağını duyurdu..Ne diyeceğimizi bilemedik.",darısı tüm memurlara inşallah.  saray hariç herkes kemer sıkacak inşallah
" 4270 lira maaşımın ve saati 15 liralık ek dersimin peşine düşen, kıskanç, başarısız, hayatta hiç bir başarısı olmayan, lisede başarısız ve serseri olduğu için öğretmenlere düşman kesilen tiplerin bakmasını istediğim bir haber:Almanya’da uzaktan eğitim: 800 bin öğretmene dizüstü bilgisayar, öğrencilere sınırsız internet (birgun.net)Schulgipfel bei der Kanzlerin: 800.000 Laptops für Lehrer – und dann? - cio.deŞimdi o kadar zekisiniz ki şimdi ""bir de bilgisayar istiyorlaaaaar"" diyeceksiniz. Şimdiden uyarayım istemiyoruz. Huzur verin yeter.",Biz asla gelişmiş bir ülke olamayacağız asla.
"Marmaray’da 9 aydır uygulanan aktarma indirimi, TCDD’nin itirazı sonucu mahkeme kararıyla kaldırıldı. İBB’nin geçen hafta UKOME’ye getirdiği aktarmanın devam etmesi yönündeki teklif, merkezi yönetim temsilcilerinin oy çokluğuyla reddedildi.Yarından itibaren Marmaray'da seyahat eden İstanbullular, Kaç durak gittiği fark etmeksizin 7,00 TL ücret ödeyecek. Marmaray'dan sonra metro ve otobüs gibi diğer toplu ulaşım araçlarında yapılan yolculuklarda ise aktarma indirimi devam edecek.Yeni yönetim tekrar teklif ettiYeni İBB yönetiminin, şubat 2020'de UKOME'ye sunduğu teklifle, Marmaray'ın yeniden aktarma uygulamasına dahil edilmesi sağlandı. Hat, diğer tüm raylı sistem hatlarının yanında, metrobüs, otobüs ve minibüs hattıyla entegre hale getirildi. Alınan kararla, metrobüsün yoğunluğun bir kısmının Marmaray hattına kaydığı da tespit edildi.TCDD dava açtıAncak, TCDD tarafından açılan dava sonucunda; Temmuz 2020'de UKOME kararında yer alan elektronik bilet ücret düzenlemelerinin Marmaray ile ilgili hükümler içeren kısımlarının yürütmesinin durdurulmasına karar verildi. İBB, hemen Bölge İdare Mahkemesi'ne itirazda bulundu ve koşulları oluşmayan yürütmenin durdurulması talebinin reddine karar verildi. 6 Kasım tarihinde, İstanbul 10. İdare Mahkemesi TCDD'nin açmış olduğu davaya istinaden, “TCDD'ye ağır külfet getireceği ve bu düzenlemenin hangi sebeple yapıldığı somut tespitlere yer verilmediği” gerekçesiyle, yeniden yürütmenin durdurulmasına karar verdi. İBB, bu kararı da Bölge İdare Mahkemesi'ne taşıdı ve hukuki süreç devam ediyor.UKOME'de reddedildiİBB Ulaşım Daire Başkanlığı; yolculukların tek biletle sağlanması ve vatandaşların ulaşımının en ekonomik şekilde sağlanması amacıyla, Marmaray hattının aktarma almaya devam etmesi konusunu, 26 Kasım'da UKOME gündemine taşıdı. Ancak yapılan oylama sonucunda, İBB temsilcilerinin dışında kalan merkezi yönetim temsilcilerinin oyu ile Marmaray hattında “aktarma alır” uygulamasının reddine karar verildi.kaynak: https://t24.com.tr/haber/marmaray-da-aktarma-indirimi-tcdd-nin-itirazi-sonucu-mahkeme-karariyla-kaldirildi,917870","Marmaray'a aktarmasız 7 lira verip ertesi gün Twitter da İmamoğlu'na sallayacak en az 200 tane adam tanıyorum    Başlık çok açıklayıcı olmuş, bende toplantıyı izledim fakat izlemeyen insanlar kimlerin oyuyla iptal olduğunu bilsin"
10 KASIM AZERBEYCAN ZAFER GÜNÜ ATATÜRK İÇİN 10 KASIM YERİNE 8 KASIM SEÇİLDİhttps://www.cnnturk.com/video/dunya/azerbaycanda-ataturku-anma-gunu-olmasi-nedeniyle-10-kasim-zafer-gunu-8-kasim-olarak-degistirildi ,10 kasımı kutlayacağız diye böğüren Atatürk düşmanlarını üzecek bir haber gelmiş kardeşlerimizden.
"70 KPSS Puanı ile 80, 90 puanlık onlarca kişinin önüne geçerek '1 Kişilik' kontenjana yerleşen kişiler olduğu sürece boşa okuduk,okuyorsunuz ve çocuklarımızı okutuyoruz diyorum.",quote:Orijinalden alıntı:  Sadece Ölüler GörürSadece KPSS için derme çatma üniversitelerde okuyanlar bence de boşa okudu ve okuyor. Sana da gelince bir insan her türlü para kazanır gıda ile alakalı diyetisyen dahil kişiler catering de çalışabilir yemek parası da bedavaya gelir.Insta sayfası kurar kendi yerini açıp diyet yazar danışmanlıkla satarsın.4 yıllık üni mezunuysan yedek subay olabilirsin.Yine 4 yıllık bir bölüm mezunuysan fast food restoranlarında müdür olabilirsin.Kpss den alan dışı girer ptt de bile çalışabilirsin.Burda mevzu bahis insanlara hakettiğinin verilmemesi demek ki 70 alan torpilli bir orman .. arkadaşın 91 alanı geçmesi çok normal sence. Yine özel üniversitelere laf sallamışsın da çomünün yaptığı çok normal yani böyle bir hareketten sonra kesinlikle iyi kendini ispatlamış akademisyenlere sahipler 70 kpss ile :Dd
"İmamların maaşının faizsiz katılım bankaları üzerinden ödenmesi talimatı veren Diyanet İşleri Başkanlığı, son 5 yılda 7.4 milyon lira faiz geliri aldı.İmamların maaşlarının faizsiz katılım bankaları üzerinden ödenmesi talimatını veren Diyanet İşleri Başkanlığı'nın, faiz geliri elde ettiği ortaya çıktı. Diyanet'in son 5 yıllık faiz geliri 7 milyon 431 bin 693 liraya ulaştı. Faizlerin büyük çoğunluğu, Dini Yayınlar Döner Sermaye İşletmesi gelirlerinden elde edildi. Döner sermayenin son 3 yılda resmi rakamlara yansıyan faiz gelirlerinin toplamı da 6 milyon lirayı buldu. Diyanet İşleri Başkanlığı, faiz geliri konusunda, “Personelden yapılan istirdat (geri alma, tahsil) faizi ile birlikte Hazine'ye îrat kaydedilmektedir'' açıklaması yapmıştı.  Çomar arkadaşlara kaynak : https://www.sozcu.com.tr/2020/ekonomi/diyanetin-faiz-geliri-7-4-milyon-lirayi-buldu-614994https://www.sondakikaturk.com.tr/gundem/diyanet-son-5-yilda-74-milyon-tl-faiz-geliri-elde-etti-h208261.htmlhttps://onhaber.net/diyanet-son-5-yilda-7-4-milyon-tl-faiz-geliri-elde-etti/",Tamam biatçı kardeş maaş günün geldi mi?
Twitin altındaki Mansur Yavaşı eleştiren kişilerinin profillerine bir göz gezdirin1-İstisnasız hepsi aynı paylaşımları rt lemişler2-%70'inin kullanıcı adı HG ile bitiyorAnlaşılan aktrollerimiz bugün fazla mesai yapıyorlar uzun süredir gözükmüyorlardı,
"Ülkenin hali ortada. ""Adalet"" ve Kalkınma Partisi.",Boşansa da o nafakayı ödeyecek üstelik maaşı hacizli olduğu için 600lira ödüyor yoksa 1000liradan aşağı ödemezdi    Fakat dediği mahkemeler bir kesim memurun kazanç kapısı bu doğru    Erkek geliri olmayan bir kızla evlenmeyi düşünüyorsa ömür boyu o kıza bakmak durumunda bosanmayi dusunmemesi gerekir üstelik kadın aldatır veya bosanirsa yine başı beladan kurtulmuyor
9 aydır okula gitmeyen sadece uzaktan ders yapan öğretmenlerin maaşlarında % 10-15 arası kesinti yapılması gündemdeymiş.gelişmeleri takip edeceğiz.,İnşallah. Darısı imam ve bekçilere.
Ermeniler geniş çaplı saldırı başlatmış. Azerbaycan ordusu ilerliyor.,Suriye farklı Azerbaycan farklıdır. Araplara değil Türklere destek çıkmalıyız.
"İYİ Parti Genel Başkanı Akşener, ""Asgari ücreti 3 bin liraya çıkarıp asgari ücretli çalışanımıza brüt kazancının tamamını ödeyelim. Yani işverenimiz, çalıştırdığı asgari ücretli vatandaşımızın gelir vergisini ve SGK primini devlete değil, çalışanına versin. Devletimiz de çalışanımızın gelir vergisini ve SGK primini üstlensin"" dedi.https://www.ntv.com.tr/turkiye/iyi-parti-genel-baskani-aksener-asgari-ucret-onerisini-acikladi,0s9dGb82W0S7n62nHl7EVg","quote:Orijinalden alıntı:  tarihselmaddeciBu cemaatçi döküntüsünün nesini beğeniyorsunuz? Şuna bak, hoca efendisinin içtiği sudan içmediği kalmış bir tek... Yapmayın etmeyin ya...https://www.siyasetcafe.com/aksenerin-gulene-ovguler-dizdigi-goruntuler-1857v.htmBeraber yürüyenleri, ne istedilerse verenler hakkında bir iki lafın var mı ?"
